step,time,0,1,2,3,4,5,6,7,
96, 2015/1/1 8:0:00,4,0,0,0,0,0,0,0,
97, 2015/1/1 8:5:00,0,2,2,0,0,0,0,0,
98, 2015/1/1 8:10:00,0,2,2,0,0,0,0,0,
99, 2015/1/1 8:15:00,0,2,2,0,0,0,0,0,
100, 2015/1/1 8:20:00,0,2,2,0,0,0,0,0,
101, 2015/1/1 8:25:00,0,2,2,0,0,0,0,0,
102, 2015/1/1 8:30:00,0,2,2,0,0,0,0,0,
103, 2015/1/1 8:35:00,0,2,2,0,0,0,0,0,
104, 2015/1/1 8:40:00,0,2,1,0,1,0,0,0,
105, 2015/1/1 8:45:00,0,2,2,0,0,0,0,0,
106, 2015/1/1 8:50:00,0,1,2,1,0,0,0,0,
107, 2015/1/1 8:55:00,0,1,2,1,0,0,0,0,
108, 2015/1/1 9:0:00,0,1,2,1,0,0,0,0,
109, 2015/1/1 9:5:00,0,1,2,1,0,0,0,0,
110, 2015/1/1 9:10:00,0,1,1,1,0,0,1,0,
111, 2015/1/1 9:15:00,0,2,2,0,0,0,0,0,
112, 2015/1/1 9:20:00,0,1,3,0,0,0,0,0,
113, 2015/1/1 9:25:00,0,1,3,0,0,0,0,0,
114, 2015/1/1 9:30:00,0,1,3,0,0,0,0,0,
115, 2015/1/1 9:35:00,0,2,2,0,0,0,0,0,
116, 2015/1/1 9:40:00,0,2,2,0,0,0,0,0,
117, 2015/1/1 9:45:00,0,2,1,0,0,0,1,0,
118, 2015/1/1 9:50:00,0,2,1,0,0,0,1,0,
119, 2015/1/1 9:55:00,0,2,1,0,0,0,1,0,
120, 2015/1/1 10:0:00,0,2,2,0,0,0,0,0,
121, 2015/1/1 10:5:00,0,2,2,0,0,0,0,0,
122, 2015/1/1 10:10:00,0,2,2,0,0,0,0,0,
123, 2015/1/1 10:15:00,0,1,2,1,0,0,0,0,
124, 2015/1/1 10:20:00,0,1,2,0,0,0,0,1,
125, 2015/1/1 10:25:00,0,1,3,0,0,0,0,0,
126, 2015/1/1 10:30:00,0,2,2,0,0,0,0,0,
127, 2015/1/1 10:35:00,0,2,1,0,0,0,1,0,
128, 2015/1/1 10:40:00,0,1,2,1,0,0,0,0,
129, 2015/1/1 10:45:00,0,1,1,2,0,0,0,0,
130, 2015/1/1 10:50:00,0,2,1,1,0,0,0,0,
131, 2015/1/1 10:55:00,0,2,2,0,0,0,0,0,
132, 2015/1/1 11:0:00,0,1,2,0,0,0,1,0,
133, 2015/1/1 11:5:00,0,1,3,0,0,0,0,0,
134, 2015/1/1 11:10:00,0,1,1,0,0,0,0,2,
135, 2015/1/1 11:15:00,0,2,1,0,0,0,0,1,
136, 2015/1/1 11:20:00,0,2,2,0,0,0,0,0,
137, 2015/1/1 11:25:00,0,2,2,0,0,0,0,0,
138, 2015/1/1 11:30:00,0,2,2,0,0,0,0,0,
139, 2015/1/1 11:35:00,4,0,0,0,0,0,0,0,
140, 2015/1/1 11:40:00,4,0,0,0,0,0,0,0,
141, 2015/1/1 11:45:00,4,0,0,0,0,0,0,0,
142, 2015/1/1 11:50:00,4,0,0,0,0,0,0,0,
143, 2015/1/1 11:55:00,4,0,0,0,0,0,0,0,
144, 2015/1/1 12:0:00,4,0,0,0,0,0,0,0,
145, 2015/1/1 12:5:00,0,0,0,0,0,4,0,0,
146, 2015/1/1 12:10:00,0,0,0,0,0,4,0,0,
147, 2015/1/1 12:15:00,0,0,0,0,0,4,0,0,
148, 2015/1/1 12:20:00,0,0,0,0,0,4,0,0,
149, 2015/1/1 12:25:00,0,0,0,0,0,4,0,0,
150, 2015/1/1 12:30:00,0,0,0,0,0,4,0,0,
151, 2015/1/1 12:35:00,0,0,0,0,0,4,0,0,
152, 2015/1/1 12:40:00,0,0,0,0,0,4,0,0,
153, 2015/1/1 12:45:00,0,0,0,0,0,4,0,0,
154, 2015/1/1 12:50:00,0,0,0,0,0,4,0,0,
155, 2015/1/1 12:55:00,0,0,0,0,0,4,0,0,
156, 2015/1/1 13:0:00,0,0,0,0,0,4,0,0,
157, 2015/1/1 13:5:00,0,0,0,0,0,4,0,0,
158, 2015/1/1 13:10:00,0,0,0,0,0,4,0,0,
159, 2015/1/1 13:15:00,0,0,0,0,0,4,0,0,
160, 2015/1/1 13:20:00,0,0,0,0,0,4,0,0,
161, 2015/1/1 13:25:00,0,0,0,0,0,4,0,0,
162, 2015/1/1 13:30:00,0,0,0,0,0,4,0,0,
163, 2015/1/1 13:35:00,0,0,0,0,0,4,0,0,
164, 2015/1/1 13:40:00,0,0,0,0,0,4,0,0,
165, 2015/1/1 13:45:00,0,0,0,0,0,4,0,0,
166, 2015/1/1 13:50:00,0,0,0,0,0,4,0,0,
167, 2015/1/1 13:55:00,0,0,0,0,0,4,0,0,
168, 2015/1/1 14:0:00,0,0,0,0,0,4,0,0,
169, 2015/1/1 14:5:00,0,0,1,0,0,0,1,2,
170, 2015/1/1 14:10:00,0,0,3,0,0,0,1,0,
171, 2015/1/1 14:15:00,0,1,3,0,0,0,0,0,
172, 2015/1/1 14:20:00,0,1,3,0,0,0,0,0,
173, 2015/1/1 14:25:00,0,1,3,0,0,0,0,0,
174, 2015/1/1 14:30:00,0,1,3,0,0,0,0,0,
175, 2015/1/1 14:35:00,0,1,2,0,1,0,0,0,
176, 2015/1/1 14:40:00,0,1,2,0,1,0,0,0,
177, 2015/1/1 14:45:00,0,1,3,0,0,0,0,0,
178, 2015/1/1 14:50:00,0,2,2,0,0,0,0,0,
179, 2015/1/1 14:55:00,0,2,2,0,0,0,0,0,
180, 2015/1/1 15:0:00,0,2,2,0,0,0,0,0,
181, 2015/1/1 15:5:00,0,2,2,0,0,0,0,0,
182, 2015/1/1 15:10:00,0,2,2,0,0,0,0,0,
183, 2015/1/1 15:15:00,0,2,1,0,0,0,1,0,
184, 2015/1/1 15:20:00,0,2,2,0,0,0,0,0,
185, 2015/1/1 15:25:00,0,2,2,0,0,0,0,0,
186, 2015/1/1 15:30:00,0,2,2,0,0,0,0,0,
187, 2015/1/1 15:35:00,0,2,1,0,1,0,0,0,
188, 2015/1/1 15:40:00,0,2,1,0,1,0,0,0,
189, 2015/1/1 15:45:00,0,1,2,0,0,0,0,1,
190, 2015/1/1 15:50:00,0,2,2,0,0,0,0,0,
