Version Num, 1.00, 
Building Num, 1, 
Room Num, 12, 
Occupant Num, 21, 
Start Time, 2015-1-0, 
End Time, 2015-1-10, 
step,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
51, 2015/1/1 4:15:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52, 2015/1/1 4:20:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53, 2015/1/1 4:25:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54, 2015/1/1 4:30:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55, 2015/1/1 4:35:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56, 2015/1/1 4:40:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57, 2015/1/1 4:45:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58, 2015/1/1 4:50:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59, 2015/1/1 4:55:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60, 2015/1/1 5:0:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61, 2015/1/1 5:5:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62, 2015/1/1 5:10:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63, 2015/1/1 5:15:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64, 2015/1/1 5:20:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65, 2015/1/1 5:25:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66, 2015/1/1 5:30:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67, 2015/1/1 5:35:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68, 2015/1/1 5:40:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69, 2015/1/1 5:45:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70, 2015/1/1 5:50:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71, 2015/1/1 5:55:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72, 2015/1/1 6:0:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73, 2015/1/1 6:5:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74, 2015/1/1 6:10:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75, 2015/1/1 6:15:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76, 2015/1/1 6:20:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77, 2015/1/1 6:25:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78, 2015/1/1 6:30:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79, 2015/1/1 6:35:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80, 2015/1/1 6:40:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81, 2015/1/1 6:45:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82, 2015/1/1 6:50:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83, 2015/1/1 6:55:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84, 2015/1/1 7:0:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85, 2015/1/1 7:5:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86, 2015/1/1 7:10:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
87, 2015/1/1 7:15:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
88, 2015/1/1 7:20:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
89, 2015/1/1 7:25:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90, 2015/1/1 7:30:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
91, 2015/1/1 7:35:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92, 2015/1/1 7:40:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93, 2015/1/1 7:45:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94, 2015/1/1 7:50:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95, 2015/1/1 7:55:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
96, 2015/1/1 8:0:00, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
97, 2015/1/1 8:5:00, 0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,
98, 2015/1/1 8:10:00, 0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,7,
99, 2015/1/1 8:15:00, 0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,8,
100, 2015/1/1 8:20:00, 0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,
101, 2015/1/1 8:25:00, 0,1,0,2,0,0,0,3,0,0,0,4,0,0,0,6,6,0,0,7,0,
102, 2015/1/1 8:30:00, 0,1,0,2,0,0,0,3,0,0,0,4,0,0,0,6,6,0,0,7,0,
103, 2015/1/1 8:35:00, 0,1,0,2,2,0,0,6,0,0,0,4,0,0,0,6,6,0,0,7,7,
104, 2015/1/1 8:40:00, 1,1,0,2,2,0,0,6,0,0,4,4,0,0,0,6,6,6,0,7,0,
105, 2015/1/1 8:45:00, 1,3,0,2,2,0,0,6,0,0,4,4,0,0,0,6,6,6,0,7,0,
106, 2015/1/1 8:50:00, 1,3,0,2,2,0,0,6,3,0,4,4,0,0,0,6,6,6,0,7,0,
107, 2015/1/1 8:55:00, 6,3,0,2,2,0,0,6,3,0,4,4,5,0,5,6,6,6,7,7,7,
108, 2015/1/1 9:0:00, 6,3,0,2,2,0,0,6,3,0,4,4,5,0,5,6,6,12,7,7,7,
109, 2015/1/1 9:5:00, 6,3,0,8,2,0,0,6,3,0,4,4,5,0,5,6,6,6,7,11,7,
110, 2015/1/1 9:10:00, 6,8,1,2,2,0,0,6,3,10,4,4,5,5,11,6,10,10,10,7,7,
111, 2015/1/1 9:15:00, 6,8,1,2,2,0,0,2,3,10,4,4,5,5,5,6,10,10,10,7,7,
112, 2015/1/1 9:20:00, 6,3,1,2,2,0,0,2,3,10,4,4,5,5,11,6,10,10,10,7,7,
113, 2015/1/1 9:25:00, 6,3,1,2,2,0,0,3,3,0,4,4,5,8,5,6,5,1,5,7,7,
114, 2015/1/1 9:30:00, 6,1,1,2,2,0,0,3,3,0,4,4,5,8,8,6,5,1,5,7,7,
115, 2015/1/1 9:35:00, 6,1,1,2,2,0,0,3,3,0,4,4,5,5,8,6,6,1,5,7,7,
116, 2015/1/1 9:40:00, 1,1,1,2,2,0,3,9,3,0,4,4,9,5,9,9,6,1,5,7,9,
117, 2015/1/1 9:45:00, 2,1,1,2,2,0,3,9,3,4,4,4,9,5,9,9,6,1,5,7,9,
118, 2015/1/1 9:50:00, 2,1,1,2,2,0,3,9,3,11,4,4,9,5,9,9,6,6,7,7,9,
119, 2015/1/1 9:55:00, 2,1,1,2,2,0,2,9,3,8,4,4,9,5,9,9,6,6,7,7,9,
