step,time,0,1,2,3,4,5,6,7,8,
49, 2015/1/1 16:20:00,0,0,0,0,0,0,6,0,0,
50, 2015/1/1 16:40:00,0,0,0,0,0,0,6,0,0,
51, 2015/1/1 17:0:00,0,0,0,0,0,0,6,0,0,
52, 2015/1/1 17:20:00,2,0,0,0,2,1,0,0,1,
53, 2015/1/1 17:40:00,0,0,0,1,0,0,5,0,0,
54, 2015/1/1 18:0:00,0,0,0,1,0,0,5,0,0,
55, 2015/1/1 18:20:00,6,0,0,0,0,0,0,0,0,
56, 2015/1/1 18:40:00,6,0,0,0,0,0,0,0,0,
57, 2015/1/1 19:0:00,6,0,0,0,0,0,0,0,0,
58, 2015/1/1 19:20:00,6,0,0,0,0,0,0,0,0,
59, 2015/1/1 19:40:00,6,0,0,0,0,0,0,0,0,
60, 2015/1/1 20:0:00,6,0,0,0,0,0,0,0,0,
61, 2015/1/1 20:20:00,6,0,0,0,0,0,0,0,0,
62, 2015/1/1 20:40:00,6,0,0,0,0,0,0,0,0,
63, 2015/1/1 21:0:00,6,0,0,0,0,0,0,0,0,
64, 2015/1/1 21:20:00,6,0,0,0,0,0,0,0,0,
65, 2015/1/1 21:40:00,6,0,0,0,0,0,0,0,0,
66, 2015/1/1 22:0:00,6,0,0,0,0,0,0,0,0,
67, 2015/1/1 22:20:00,6,0,0,0,0,0,0,0,0,
68, 2015/1/1 22:40:00,6,0,0,0,0,0,0,0,0,
69, 2015/1/1 23:0:00,6,0,0,0,0,0,0,0,0,
70, 2015/1/1 23:20:00,6,0,0,0,0,0,0,0,0,
71, 2015/1/1 23:40:00,6,0,0,0,0,0,0,0,0,
72, 2015/1/2 0:0:00,6,0,0,0,0,0,0,0,0,
73, 2015/1/2 0:20:00,6,0,0,0,0,0,0,0,0,
74, 2015/1/2 0:40:00,6,0,0,0,0,0,0,0,0,
75, 2015/1/2 1:0:00,6,0,0,0,0,0,0,0,0,
76, 2015/1/2 1:20:00,6,0,0,0,0,0,0,0,0,
77, 2015/1/2 1:40:00,6,0,0,0,0,0,0,0,0,
78, 2015/1/2 2:0:00,6,0,0,0,0,0,0,0,0,
79, 2015/1/2 2:20:00,6,0,0,0,0,0,0,0,0,
80, 2015/1/2 2:40:00,6,0,0,0,0,0,0,0,0,
81, 2015/1/2 3:0:00,6,0,0,0,0,0,0,0,0,
82, 2015/1/2 3:20:00,6,0,0,0,0,0,0,0,0,
83, 2015/1/2 3:40:00,6,0,0,0,0,0,0,0,0,
84, 2015/1/2 4:0:00,6,0,0,0,0,0,0,0,0,
85, 2015/1/2 4:20:00,6,0,0,0,0,0,0,0,0,
86, 2015/1/2 4:40:00,6,0,0,0,0,0,0,0,0,
87, 2015/1/2 5:0:00,6,0,0,0,0,0,0,0,0,
88, 2015/1/2 5:20:00,6,0,0,0,0,0,0,0,0,
89, 2015/1/2 5:40:00,6,0,0,0,0,0,0,0,0,
90, 2015/1/2 6:0:00,6,0,0,0,0,0,0,0,0,
91, 2015/1/2 6:20:00,6,0,0,0,0,0,0,0,0,
92, 2015/1/2 6:40:00,6,0,0,0,0,0,0,0,0,
93, 2015/1/2 7:0:00,6,0,0,0,0,0,0,0,0,
94, 2015/1/2 7:20:00,6,0,0,0,0,0,0,0,0,
95, 2015/1/2 7:40:00,6,0,0,0,0,0,0,0,0,
96, 2015/1/2 8:0:00,6,0,0,0,0,0,0,0,0,
97, 2015/1/2 8:20:00,6,0,0,0,0,0,0,0,0,
98, 2015/1/2 8:40:00,6,0,0,0,0,0,0,0,0,
99, 2015/1/2 9:0:00,6,0,0,0,0,0,0,0,0,
100, 2015/1/2 9:20:00,0,0,0,0,0,0,6,0,0,
101, 2015/1/2 9:40:00,0,0,0,0,0,0,6,0,0,
102, 2015/1/2 10:0:00,0,0,0,0,0,0,6,0,0,
103, 2015/1/2 10:20:00,0,0,0,0,0,0,6,0,0,
104, 2015/1/2 10:40:00,1,0,1,1,2,0,0,1,0,
105, 2015/1/2 11:0:00,0,0,0,0,0,0,6,0,0,
106, 2015/1/2 11:20:00,1,1,1,0,1,1,0,1,0,
107, 2015/1/2 11:40:00,1,3,2,0,0,0,0,0,0,
108, 2015/1/2 12:0:00,2,0,0,0,0,0,4,0,0,
109, 2015/1/2 12:20:00,6,0,0,0,0,0,0,0,0,
110, 2015/1/2 12:40:00,2,1,1,2,0,0,0,0,0,
111, 2015/1/2 13:0:00,0,3,2,1,0,0,0,0,0,
112, 2015/1/2 13:20:00,0,2,0,1,1,2,0,0,0,
113, 2015/1/2 13:40:00,0,1,2,2,0,1,0,0,0,
114, 2015/1/2 14:0:00,0,1,1,1,1,0,0,1,1,
115, 2015/1/2 14:20:00,0,2,2,1,0,0,0,0,1,
116, 2015/1/2 14:40:00,0,1,2,1,0,0,0,1,1,
117, 2015/1/2 15:0:00,0,2,1,2,0,0,0,1,0,
118, 2015/1/2 15:20:00,0,0,0,0,0,0,6,0,0,
119, 2015/1/2 15:40:00,0,0,0,0,0,0,6,0,0,
120, 2015/1/2 16:0:00,0,0,0,0,0,0,6,0,0,
121, 2015/1/2 16:20:00,0,0,0,0,0,0,6,0,0,
122, 2015/1/2 16:40:00,0,0,0,0,0,0,6,0,0,
123, 2015/1/2 17:0:00,0,0,0,0,0,0,6,0,0,
124, 2015/1/2 17:20:00,2,0,1,1,0,1,0,0,1,
125, 2015/1/2 17:40:00,0,2,2,0,0,0,2,0,0,
126, 2015/1/2 18:0:00,0,1,2,0,0,0,2,1,0,
127, 2015/1/2 18:20:00,6,0,0,0,0,0,0,0,0,
128, 2015/1/2 18:40:00,6,0,0,0,0,0,0,0,0,
129, 2015/1/2 19:0:00,6,0,0,0,0,0,0,0,0,
130, 2015/1/2 19:20:00,6,0,0,0,0,0,0,0,0,
131, 2015/1/2 19:40:00,6,0,0,0,0,0,0,0,0,
132, 2015/1/2 20:0:00,6,0,0,0,0,0,0,0,0,
133, 2015/1/2 20:20:00,6,0,0,0,0,0,0,0,0,
134, 2015/1/2 20:40:00,6,0,0,0,0,0,0,0,0,
135, 2015/1/2 21:0:00,6,0,0,0,0,0,0,0,0,
136, 2015/1/2 21:20:00,6,0,0,0,0,0,0,0,0,
137, 2015/1/2 21:40:00,6,0,0,0,0,0,0,0,0,
138, 2015/1/2 22:0:00,6,0,0,0,0,0,0,0,0,
139, 2015/1/2 22:20:00,6,0,0,0,0,0,0,0,0,
140, 2015/1/2 22:40:00,6,0,0,0,0,0,0,0,0,
