step,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,
18, 2015/1/1 3:0:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19, 2015/1/1 3:10:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20, 2015/1/1 3:20:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21, 2015/1/1 3:30:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22, 2015/1/1 3:40:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23, 2015/1/1 3:50:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24, 2015/1/1 4:0:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25, 2015/1/1 4:10:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26, 2015/1/1 4:20:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27, 2015/1/1 4:30:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28, 2015/1/1 4:40:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29, 2015/1/1 4:50:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30, 2015/1/1 5:0:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31, 2015/1/1 5:10:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32, 2015/1/1 5:20:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33, 2015/1/1 5:30:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34, 2015/1/1 5:40:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35, 2015/1/1 5:50:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36, 2015/1/1 6:0:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37, 2015/1/1 6:10:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38, 2015/1/1 6:20:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39, 2015/1/1 6:30:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40, 2015/1/1 6:40:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41, 2015/1/1 6:50:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42, 2015/1/1 7:0:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43, 2015/1/1 7:10:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44, 2015/1/1 7:20:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45, 2015/1/1 7:30:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46, 2015/1/1 7:40:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47, 2015/1/1 7:50:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48, 2015/1/1 8:0:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49, 2015/1/1 8:10:00,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50, 2015/1/1 8:20:00,0,4,4,5,4,3,5,4,4,3,5,5,5,5,4,4,5,6,5,5,6,5,5,6,4,6,3,6,4,1,2,3,3,3,3,2,2,2,0,4,3,2,2,2,3,1,2,4,1,2,2,1,2,3,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
51, 2015/1/1 8:30:00,1,4,5,6,3,3,5,5,3,3,6,5,5,5,3,5,3,5,5,4,6,4,7,5,3,4,3,7,4,2,2,6,0,2,3,2,2,2,0,4,2,3,3,2,2,1,2,3,0,4,2,1,3,2,1,4,2,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,2,
52, 2015/1/1 8:40:00,1,4,4,6,3,3,7,2,3,3,6,3,5,4,1,4,3,4,4,5,4,3,6,4,5,7,2,6,4,3,1,5,1,3,1,2,4,3,0,5,0,4,4,3,2,0,3,3,0,3,2,3,2,2,1,2,2,1,0,0,2,1,2,2,1,1,0,0,0,0,1,1,1,3,
53, 2015/1/1 8:50:00,3,3,5,3,1,4,5,1,4,3,5,3,3,5,2,3,3,7,5,5,1,6,7,5,4,5,2,6,5,2,2,4,1,3,1,4,2,1,0,3,1,4,2,4,2,1,1,4,0,4,2,6,3,4,1,1,2,1,1,1,1,0,0,1,1,0,0,0,0,2,0,1,1,7,
54, 2015/1/1 9:0:00,2,3,5,3,1,6,3,1,4,4,3,4,3,4,3,3,4,7,7,6,2,2,5,4,4,2,0,4,5,1,4,3,3,3,1,5,2,3,2,3,3,4,2,3,2,0,1,3,2,3,1,5,2,6,2,2,3,1,0,2,0,0,2,0,0,1,0,0,2,0,2,2,2,4,
55, 2015/1/1 9:10:00,2,4,3,4,2,4,3,2,6,4,3,6,3,3,1,4,1,6,3,5,2,1,2,3,5,5,3,2,5,1,3,4,6,4,1,3,1,3,3,2,3,3,1,2,2,1,1,3,2,2,1,2,4,4,1,5,1,4,2,0,2,3,0,1,2,1,0,0,3,1,3,3,0,5,
56, 2015/1/1 9:20:00,3,2,2,1,1,4,2,3,5,3,3,4,2,1,1,4,1,5,4,5,4,1,3,5,4,4,2,2,7,3,2,4,6,5,1,4,4,3,1,3,3,4,2,3,3,4,1,3,1,3,3,3,4,4,2,4,1,0,2,2,2,1,0,3,2,1,0,0,0,5,0,1,1,4,
57, 2015/1/1 9:30:00,5,1,2,1,2,3,4,3,4,3,2,5,2,3,3,3,2,4,5,5,1,1,4,4,5,2,2,3,7,0,4,5,2,5,5,4,6,1,3,4,0,3,1,5,4,3,2,1,1,2,3,4,5,5,2,2,1,3,1,0,0,0,1,2,4,1,0,0,0,1,4,0,2,3,
58, 2015/1/1 9:40:00,1,2,2,4,1,2,2,4,8,5,3,4,2,1,3,4,1,4,8,5,1,2,6,2,1,2,2,4,4,2,2,4,4,3,6,5,3,2,3,3,3,3,0,3,3,4,1,4,2,2,3,4,4,2,2,2,2,1,2,1,0,0,1,3,0,3,0,0,3,1,0,2,2,6,
59, 2015/1/1 9:50:00,2,2,3,1,1,1,3,4,4,4,3,2,2,1,4,3,2,2,5,7,4,1,5,4,1,3,2,5,5,2,3,4,2,4,5,5,5,2,4,4,1,4,2,2,2,3,2,3,2,3,6,4,3,4,2,3,2,2,1,2,1,0,1,1,3,1,0,0,0,1,1,1,2,5,
60, 2015/1/1 10:0:00,4,3,2,6,2,5,2,2,4,3,3,2,3,1,2,2,2,0,4,5,4,2,3,3,1,2,4,4,6,3,3,3,1,5,6,2,3,4,3,3,2,5,1,3,4,3,2,0,2,1,4,1,3,4,3,7,5,1,1,2,2,2,1,0,0,2,0,0,1,1,3,2,3,3,
61, 2015/1/1 10:10:00,2,3,2,6,0,3,2,5,4,8,5,3,2,3,3,3,3,3,6,7,4,4,2,6,2,0,1,2,5,2,2,5,2,2,6,1,4,4,4,3,2,3,2,1,2,2,2,0,1,0,2,0,3,6,3,6,3,0,2,1,2,3,1,6,0,1,0,0,2,0,0,2,1,3,
62, 2015/1/1 10:20:00,3,1,6,3,1,3,2,3,3,7,6,2,1,2,4,4,2,5,4,4,3,3,3,5,3,1,1,1,2,3,2,5,5,4,7,3,3,3,6,2,1,1,2,0,2,3,3,1,3,0,2,0,2,2,1,7,3,2,0,2,3,1,0,0,1,2,0,11,0,4,1,2,1,2,
63, 2015/1/1 10:30:00,4,3,7,3,2,3,1,1,2,5,5,4,3,1,5,5,2,2,4,2,5,4,3,4,2,3,4,2,3,3,1,5,2,4,4,2,2,2,6,2,0,2,2,1,2,5,3,0,0,2,1,1,4,4,2,5,4,3,1,0,0,1,1,1,1,2,0,11,2,0,1,3,1,3,
64, 2015/1/1 10:40:00,3,5,1,3,1,3,4,2,0,4,2,2,3,3,7,4,2,1,4,0,4,5,3,4,1,3,5,2,3,1,2,3,2,5,4,2,2,3,4,5,1,4,1,1,3,3,2,1,2,3,4,1,2,4,3,5,3,1,0,2,0,4,3,1,1,2,0,11,1,1,3,0,1,5,
65, 2015/1/1 10:50:00,3,4,5,4,3,4,4,5,2,5,1,3,2,3,4,5,1,1,7,1,2,1,5,3,1,2,3,1,3,0,0,1,3,3,5,4,1,5,3,4,2,5,3,1,1,2,2,1,1,3,3,4,4,3,3,3,2,4,1,1,0,1,0,2,2,1,0,11,0,2,3,3,1,4,
66, 2015/1/1 11:0:00,1,6,3,4,1,3,1,3,1,6,3,5,2,3,2,0,2,1,4,2,1,3,6,2,4,4,3,1,3,1,0,1,4,3,5,3,2,2,3,6,3,3,4,0,4,0,1,2,0,5,4,5,5,3,2,3,3,3,0,0,3,3,2,3,2,1,0,11,1,1,1,0,1,7,
67, 2015/1/1 11:10:00,3,4,4,3,2,1,2,1,2,5,3,3,7,2,1,2,1,2,3,3,1,4,2,3,2,3,2,3,0,2,1,1,2,4,5,3,3,4,5,3,2,3,1,1,2,3,0,1,5,5,2,4,4,3,5,3,4,2,1,1,4,1,4,1,1,1,0,11,2,0,4,3,2,3,
68, 2015/1/1 11:20:00,4,3,3,3,2,1,3,2,0,4,1,3,8,3,0,4,3,1,3,4,1,3,3,4,3,2,1,3,3,2,2,3,2,4,3,6,2,0,2,0,5,6,1,1,2,4,0,1,2,7,3,3,4,2,5,1,2,0,5,0,2,0,1,1,2,1,6,11,1,2,3,0,3,5,
69, 2015/1/1 11:30:00,4,3,5,4,2,0,0,1,1,5,1,3,7,3,1,3,3,2,2,3,2,1,2,2,2,2,3,1,3,2,3,4,4,3,4,6,2,3,2,3,6,8,2,1,2,4,2,4,1,5,1,1,2,4,3,1,2,1,1,2,0,3,0,0,1,2,6,11,4,2,0,1,2,4,
70, 2015/1/1 11:40:00,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,
71, 2015/1/1 11:50:00,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,
72, 2015/1/1 12:0:00,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,
73, 2015/1/1 12:10:00,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74, 2015/1/1 12:20:00,52,5,5,4,4,5,3,4,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,5,4,0,2,1,1,1,0,1,0,2,2,2,1,2,2,2,2,1,2,2,0,1,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75, 2015/1/1 12:30:00,53,5,5,5,5,5,1,4,3,4,3,5,3,3,3,3,2,3,4,4,3,5,5,2,3,4,5,4,2,1,2,1,1,1,0,2,0,2,3,2,1,2,2,1,1,0,2,2,0,1,1,2,0,1,1,0,1,0,2,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,
76, 2015/1/1 12:40:00,54,5,4,2,3,6,1,4,2,3,3,5,3,3,3,4,4,3,3,5,3,2,4,1,1,4,5,4,2,3,1,2,2,0,0,1,0,3,4,2,1,2,2,1,1,0,4,2,0,0,1,2,1,1,0,0,1,0,1,1,1,2,0,2,1,0,0,0,1,0,2,0,1,1,
77, 2015/1/1 12:50:00,1,5,5,4,4,5,3,5,4,5,5,7,2,4,5,5,3,3,5,5,4,3,4,4,3,7,6,6,4,3,1,3,3,1,3,3,3,3,3,2,2,2,3,1,2,1,1,1,4,2,2,1,3,4,2,2,3,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,1,
78, 2015/1/1 13:0:00,1,7,6,3,4,3,4,5,5,4,3,4,2,4,4,6,2,2,3,6,5,2,6,4,2,7,4,3,4,3,4,3,4,1,3,2,2,2,4,2,4,4,5,1,2,0,0,2,4,1,2,2,2,4,2,2,4,0,0,2,1,1,1,0,0,0,0,0,3,0,0,0,0,2,
